request_id,difference
888687ca-fb22-11ed-8120-0a89691c2239,1.15e-05
2450a0fa-fb23-11ed-97d9-0a89691c2239,1.15e-05
c7c6ab1c-fb23-11ed-85a2-0a89691c2239,1.15e-05
2b8c8d80-fb22-11ed-b5cb-0a89691c2239,1.15e-05
77ed539e-fb22-11ed-a7e1-0a89691c2239,7.6e-06
13eaee78-fb23-11ed-8c7a-0a89691c2239,7.6e-06
42e5ae24-fb24-11ed-b29a-0a89691c2239,7.6e-06
9fce001a-fb23-11ed-84f5-0a89691c2239,5.35e-06
f1afd54a-fb21-11ed-9189-0a89691c2239,5.35e-06
71cabcc2-fb22-11ed-905c-0a89691c2239,5.35e-06
30176608-fb23-11ed-b05c-0a89691c2239,5.35e-06
efab0eb2-fb22-11ed-a8ba-0a89691c2239,5.35e-06
53757550-fb22-11ed-88dd-0a89691c2239,4.9e-06
e0b00308-fb23-11ed-9c5e-0a89691c2239,4.9e-06
6329b088-fb22-11ed-a900-0a89691c2239,4.9e-06
763d6aec-fb23-11ed-8d57-0a89691c2239,4.9e-06
f94e391c-fb22-11ed-9d92-0a89691c2239,4.9e-06
502fff36-fb23-11ed-8eed-0a89691c2239,4.9e-06
5fccc42e-fb23-11ed-a01c-0a89691c2239,3.6e-06
1db5fb42-fb22-11ed-8c2a-0a89691c2239,3.6e-06
00249bdc-fb23-11ed-9186-0a89691c2239,3.6e-06
f62eba40-fb22-11ed-b50c-0a89691c2239,3.6e-06
37a0b2ac-fb24-11ed-955f-0a89691c2239,3.15e-06
e345e66a-fb22-11ed-bfc5-0a89691c2239,3.15e-06
ff24d68a-fb21-11ed-b94a-0a89691c2239,3.15e-06
24c10788-fb22-11ed-99e8-0a89691c2239,3.15e-06
8e2f76be-fb22-11ed-a20f-0a89691c2239,3.15e-06
0c6655d8-fb24-11ed-9734-0a89691c2239,3.15e-06
c62ebb56-fb22-11ed-8473-0a89691c2239,3.15e-06
3dd442ba-fb24-11ed-ba5e-0a89691c2239,3.15e-06
d17b2cba-fb22-11ed-89a9-0a89691c2239,3.15e-06
da435c4c-fb21-11ed-be11-0a89691c2239,3.025e-06
